city;avg_temp;avg_heat_index
Bialystok;-0.611111111111111;17.255555555555556
Bielsko-Biala;1.9555555555555555;17.9125
Czestochowa;1.2222222222222223;18.785714285714285
Gdansk;1.2444444444444445;17.522222222222222
Katowice;1.4666666666666668;17.9625
Kielce;0.4111111111111111;18.075
Krakow;1.077777777777778;18.666666666666668
Lublin;0.09999999999999995;18.233333333333334
Lodz;1.2;18.38888888888889
Olsztyn;0.14444444444444443;17.53333333333333
Poznan;1.9444444444444444;18.77777777777778
Rzeszow;0.9888888888888889;19.044444444444444
Szczecin;2.6555555555555554;18.177777777777777
Torun;1.1444444444444444;18.51111111111111
Warszawa;1.0444444444444445;19.166666666666668
Wroclaw;2.9555555555555557;19.544444444444444
Zielona Gora;1.9444444444444444;18.48888888888889
