city;lat;lng;lat_long;wint_avg_temp;summer_avg_temp;summer_avg_dewpt;humidex
Melbourne;-37.82003131;144.9750162;-37.82003131,144.9750162;9.44;18.61;9.17;19.514494280667318
Sydney;-33.92001097;151.1851798;-33.92001097,151.1851798;13.89;22.5;15;26.46900405064647
Linz;48.31923281;14.28878129;48.31923281,14.28878129;NA;NA;NA;NA
Vienna;48.20001528;16.36663896;48.20001528,16.36663896;1.67;19.44;12.5;21.963951863987287
Antwerpen;51.22037355;4.415017048;51.22037355,4.415017048;5;16.67;10.83;18.341295296717675
Brussels;50.83331708;4.333316608;50.83331708,4.333316608;4.17;15.28;10.56;16.821278426423774
Montréal;45.49999921;-73.58329696;45.49999921,-73.58329696;-3.61;19.17;11.67;21.25954061083918
Toronto;43.69997988;-79.42002079;43.69997988,-79.42002079;0.56;19.44;11.94;21.668503756894125
Ostrava;49.83035504;18.24998653;49.83035504,18.24998653;0.56;17.5;11.94;19.728503756894124
Prague;50.08333701;14.46597978;50.08333701,14.46597978;2.5;17.5;11.11;19.308376042579503
Århus;56.157204;10.21068396;56.157204,10.21068396;3.61;14.44;10.28;15.848661982974413
København;55.67856419;12.56348575;55.67856419,12.56348575;4.17;14.72;10.83;16.391295296717676
Tartu;58.38394147;26.70988358;58.38394147,26.70988358;NA;NA;NA;NA
Tallinn;59.43387738;24.72804073;59.43387738,24.72804073;-0.56;13.89;9.17;14.79449428066732
Tampere;61.5000045;23.75001257;61.5000045,23.75001257;-3.06;13.06;8.33;13.604967164103865
Helsinki;60.17556337;24.93412634;60.17556337,24.93412634;-1.11;14.17;9.17;15.07449428066732
Marseille;43.28997906;5.37501013;43.28997906,5.37501013;8.89;22.78;13.06;25.609392221573035
Paris;48.86669293;2.333335326;48.86669293,2.333335326;5.83;17.5;11.67;19.58954061083918
Frankfurt;50.09997683;8.67501542;50.09997683,8.67501542;3.89;18.06;11.39;20.00777967997143
Berlin;52.52181866;13.40154862;52.52181866,13.40154862;NA;NA;NA;NA
Diekirch;49.88330105;6.166701555;49.88330105,6.166701555;3.33;16.94;10.83;18.611295296717675
Luxembourg;49.611660379999996;6.130002806;49.61166038,6.130002806;3.33;16.94;10.83;18.611295296717675
The Hague;52.08003684;4.269961302;52.08003684,4.269961302;7.5;15.28;10.56;16.821278426423774
Amsterdam;52.34996869;4.916640176;52.34996869,4.916640176;5.83;15.83;11.39;17.777779679971434
Manukau;-36.99997801;174.8849735;-36.99997801,174.8849735;11.94;18.06;13.61;21.19938937334542
Auckland;-36.850013;174.7649808;-36.850013,174.7649808;13.89;16.67;13.89;19.97110925374636
Lódz;51.77499086;19.45136023;51.77499086,19.45136023;1.39;16.94;11.11;18.748376042579505
Warsaw;52.25000063;20.99999955;52.25000063,20.99999955;0.56;17.78;11.11;19.588376042579505
Porto;41.15000633;-8.620001263;41.15000633,-8.620001263;11.11;18.06;13.06;20.889392221573033
Lisbon;38.72272288;-9.144866305;38.72272288,-9.144866305;11.67;21.67;14.17;25.13551317854742
Kosice;48.73044802;21.25001013;48.73044802,21.25001013;-0.56;19.17;12.5;21.693951863987287
Bratislava;48.15001833;17.11698075;48.15001833,17.11698075;1.39;20.28;11.94;22.508503756894125
Maribor;46.54047833;15.65004187;46.54047833,15.65004187;1.39;19.44;13.06;22.269392221573035
Ljubljana;46.05528831;14.51496903;46.05528831,14.51496903;0.56;18.61;13.33;21.59031513723616
Johannesburg;-26.17004474;28.03000972;-26.17004474,28.03000972;12.22;21.39;12.22;23.76499690206535
Cape Town;-33.92001097;18.43498816;-33.92001097,18.43498816;12.5;21.39;13.89;24.691109253746358
Barcelona;41.38329958;2.183370319;41.38329958,2.183370319;10.83;22.78;16.11;27.461555243697987
Madrid;40.40002626;-3.683351686;40.40002626,-3.683351686;7.5;23.61;7.78;23.929383921207933
Göteborg;57.75000083;12.0000321;57.75000083,12.0000321;2.22;13.61;9.44;14.63402253032595
Stockholm;59.35075995;18.09733473;59.35075995,18.09733473;0.28;14.44;8.33;14.984967164103864
Zürich;47.37998781;8.55001013;47.37998781,8.55001013;1.94;18.06;11.94;20.288503756894123
Geneva;46.21000755;6.140028034;46.21000755,6.140028034;2.5;18.89;12.22;21.26499690206535
Los Angeles;33.98997825;-118.1799805;33.98997825,-118.1799805;14.44;21.11;14.17;24.575513178547418
New York;40.74997906;-73.98001693;40.74997906,-73.98001693;5.56;22.5;14.17;25.96551317854742
Rivera;-30.89957518;-55.56000431;-30.89957518,-55.56000431;12.78;23.61;16.94;28.85508735831712
Montevideo;-34.85804157;-56.17105229;-34.85804157,-56.17105229;11.39;22.5;15.28;26.644435406762813
